file,date,condition,condition_class,repetition,task,usable,metric,value,direction
speaker01_caterpillar,99999999,caterpillar,other,,reading,,duration_total_s,64.0385,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,duration_speech_s,61.498,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,articulation_time_s,51.9198,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,phonation_time_s,30.9439,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,intensity_active_mean_db,49.0807,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,intensity_active_std_db,7.37558,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,intensity_nucleus_std_db,4.40846,lower
speaker01_caterpillar,99999999,caterpillar,other,,reading,,intensity_range_db,49.6294,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,intensity_decay_db,-0.0811617,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_mean_hz,190.654,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_median_hz,185.955,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_std_hz,23.6655,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_min_hz,123.556,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_max_hz,266.696,neutral
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_range_hz,143.14,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_range_semitones,13.3204,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,pitch_cv,0.124128,around
speaker01_caterpillar,99999999,caterpillar,other,,reading,,voiced_percent,50.3168,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,unvoiced_percent,49.6832,lower
speaker01_caterpillar,99999999,caterpillar,other,,reading,,cpps_db,11.2686,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,cpp_db,8.0928,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,hnr_db,14.36,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,hnr_median_perinterval_db,9.56903,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,nhr,0.0366438,lower
speaker01_caterpillar,99999999,caterpillar,other,,reading,,mean_autocorrelation,0.917273,higher
speaker01_caterpillar,99999999,caterpillar,other,,reading,,voice_breaks_count,47,lower
speaker01_caterpillar,99999999,caterpillar,other,,reading,,voice_breaks_degree_percent,9.6738,lower
