# Intensity threshold: 0.006641
# Total duration (s): 64.0384
# Speaking time (s, pauses excluded): 37.3784
# Phoneme count: 507
# Speech rate (phonemes/s, incl. pauses): 7.9171
# Articulation rate (phonemes/s, excl. pauses): 13.5640
type	label	confidence	start	end
pause	<pause>	0.0000	0.0000	1.3400
phoneme	uː	0.2910	1.3404	1.3604
phoneme	j	0.7827	1.3604	1.3804
phoneme	uː	0.8926	1.4004	1.4204
phoneme	l	0.9909	1.4604	1.4804
phoneme	aɪ	0.9292	1.5004	1.5204
phoneme	k	0.9760	1.6205	1.6405
phoneme	ɐ	0.8043	1.6605	1.6805
phoneme	m	0.9928	1.7405	1.7605
phoneme	j	0.9498	1.7805	1.8005
phoneme	uː	0.8809	1.8005	1.8205
phoneme	z	0.8035	1.8805	1.9206
phoneme	m	0.9964	1.9606	1.9806
phoneme	ə	0.9548	1.9806	2.0006
phoneme	n	0.9708	2.0206	2.0406
phoneme	t	0.7541	2.0406	2.0806
phoneme	p	0.9868	2.1006	2.1206
phoneme	ɑːɹ	0.6811	2.1606	2.1806
pause	<pause>	0.0000	2.3000	2.8400
phoneme	ɛ	0.8887	2.8808	2.9008
phoneme	l	0.8175	3.0209	3.0409
pause	<pause>	0.0000	3.0400	3.4800
phoneme	aɪ	0.8312	3.4810	3.5010
phoneme	ʃ	0.9558	3.6410	3.6611
phoneme	ɜː	0.3795	3.7411	3.7611
phoneme	t	0.4206	3.8811	3.9011
phoneme	uː	0.8011	3.9411	3.9611
pause	<pause>	0.0000	4.0600	4.7400
phoneme	ɐ	0.8128	4.7814	4.8014
phoneme	m	0.9957	4.9014	4.9214
phoneme	j	0.8764	4.9214	4.9614
phoneme	uː	0.9298	4.9614	4.9814
phoneme	z	0.9072	5.0615	5.0815
phoneme	m	0.9986	5.1415	5.1615
phoneme	aɪ	0.8867	5.1815	5.2015
phoneme	s	0.9421	5.2815	5.3215
phoneme	ɛ	0.5617	5.3815	5.4016
phoneme	l	0.7667	5.4616	5.5016
pause	<pause>	0.0000	5.5000	5.7000
phoneme	aɪ	0.9111	5.7016	5.7216
phoneme	w	0.9709	5.8417	5.8617
phoneme	ɛ	0.8391	5.8817	5.9017
pause	<pause>	0.0000	5.9400	6.1200
phoneme	aɪ	0.8875	6.1418	6.1618
pause	<pause>	0.0000	6.2800	6.4400
phoneme	æ	0.8966	6.4819	6.5019
pause	<pause>	0.0000	6.5600	6.7800
phoneme	ɹ	0.7891	6.7820	6.8220
pause	<pause>	0.0000	6.8200	7.5000
phoneme	aɪ	0.9115	7.5022	7.5222
phoneme	m	0.9973	7.6022	7.6422
phoneme	oʊ	0.6198	7.6422	7.6622
phoneme	s	0.8015	7.7622	7.7822
phoneme	t	0.9610	7.8223	7.8423
phoneme	m	0.9955	7.9823	8.0223
phoneme	ɛ	0.9255	8.0423	8.0623
phoneme	m	0.9867	8.1423	8.1824
phoneme	ɚ	0.7695	8.2024	8.2224
phoneme	ɹ	0.9756	8.2624	8.2824
phoneme	ə	0.5335	8.3024	8.3224
phoneme	b	0.9856	8.3824	8.4024
phoneme	əl	0.8207	8.4224	8.4424
phoneme	m	0.9985	8.5625	8.5825
phoneme	ɔː	0.2267	8.6025	8.6225
phoneme	l	0.9059	8.6825	8.7025
phoneme	m	0.9981	8.7625	8.7825
phoneme	ə	0.9467	8.8025	8.8225
pause	<pause>	0.0000	8.8400	9.0400
phoneme	ʌ	0.9657	9.0626	9.0826
phoneme	z	0.9823	9.1426	9.1626
phoneme	ɹ	0.9853	9.2227	9.2427
phoneme	aɪ	0.9078	9.2827	9.3027
phoneme	d	0.9533	9.4027	9.4227
phoneme	ɪ	0.8979	9.4227	9.4427
phoneme	ŋ	0.9743	9.4827	9.5027
phoneme	ɔ	0.4019	9.5227	9.5427
phoneme	n	0.9913	9.6028	9.6228
phoneme	ð	0.7399	9.6228	9.6428
phoneme	ə	0.9337	9.6628	9.6828
phoneme	k	0.9866	9.7428	9.7628
phoneme	æ	0.8681	9.8228	9.8428
phoneme	ɾ	0.8623	9.9229	9.9429
phoneme	ɚ	0.8234	9.9429	9.9629
phoneme	p	0.9752	10.0429	10.0629
phoneme	ɪ	0.7270	10.1029	10.1229
pause	<pause>	0.0000	10.1400	10.7200
phoneme	ɪ	0.7574	10.7231	10.7431
phoneme	dʒ	0.4920	10.7831	10.8231
phoneme	ɪ	0.8613	10.8431	10.8631
phoneme	z	0.9512	10.9031	10.9231
phoneme	aɪ	0.8633	10.9632	10.9832
phoneme	dʒ	0.5738	11.0632	11.0832
phoneme	aɪ	0.8137	11.1232	11.1432
pause	<pause>	0.0000	11.1600	11.3200
phoneme	æ	0.9059	11.3633	11.3833
phoneme	n	0.9956	11.4633	11.4833
phoneme	t	0.9575	11.5233	11.5433
phoneme	ɪ	0.8671	11.5833	11.6033
phoneme	k	0.9456	11.6834	11.7034
phoneme	ɹ	0.9841	11.7434	11.7634
phoneme	oʊ	0.4565	11.7834	11.8034
phoneme	l	0.9899	11.8834	11.9034
phoneme	ɚ	0.8185	11.9234	11.9434
phoneme	k	0.9890	12.0235	12.0435
phoneme	oʊ	0.6127	12.0835	12.1035
pause	<pause>	0.0000	12.1600	12.3200
phoneme	ɚ	0.8436	12.3235	12.3436
pause	<pause>	0.0000	12.4000	12.5800
phoneme	aɪ	0.8960	12.5836	12.6036
phoneme	ɐ	0.6516	12.7237	12.7437
phoneme	b	0.9824	12.8037	12.8237
phoneme	ʌ	0.9405	12.8437	12.8637
phoneme	v	0.9898	12.9437	12.9637
phoneme	ð	0.9946	12.9837	13.0037
phoneme	ə	0.9691	13.0237	13.0438
phoneme	ɡ	0.5604	13.1038	13.1238
phoneme	ɹ	0.8875	13.1238	13.1838
pause	<pause>	0.0000	13.1800	14.0200
phoneme	w	0.9900	14.0240	14.0440
phoneme	ɛ	0.5850	14.0440	14.0640
phoneme	n	0.9951	14.0841	14.1041
phoneme	aɪ	0.9161	14.1241	14.1441
phoneme	s	0.9910	14.2241	14.2441
phoneme	ɑː	0.3185	14.3241	14.3441
phoneme	h	0.9864	14.4842	14.5042
phoneme	aʊ	0.6929	14.5642	14.5842
phoneme	h	0.9791	14.7242	14.7442
phoneme	aɪ	0.9252	14.7843	14.8043
phoneme	ð	0.9930	14.9443	14.9643
phoneme	ə	0.9440	14.9643	14.9843
phoneme	k	0.9855	15.0643	15.0843
phoneme	æ	0.8776	15.1244	15.1444
phoneme	ɾ	0.8142	15.2244	15.2444
phoneme	ɚ	0.8311	15.2444	15.2644
phoneme	p	0.9725	15.3444	15.3644
phoneme	ɪ	0.8002	15.3844	15.4044
phoneme	l	0.9920	15.4444	15.4645
phoneme	ɚ	0.7978	15.4845	15.5045
phoneme	ɹ	0.9779	15.6245	15.6445
phoneme	oʊ	0.7094	15.6845	15.7045
pause	<pause>	0.0000	15.8800	16.0800
phoneme	n	0.9948	16.1046	16.1246
phoneme	t	0.9477	16.1647	16.1847
phoneme	ə	0.9449	16.1847	16.2047
phoneme	ð	0.9932	16.2447	16.2647
phoneme	ə	0.9462	16.2647	16.2847
phoneme	b	0.8443	16.3647	16.3847
phoneme	ɹ	0.9776	16.4047	16.4447
phoneme	aɪ	0.9114	16.4647	16.4847
pause	<pause>	0.0000	16.5600	16.7200
phoneme	uː	0.8421	16.7448	16.7648
phoneme	s	0.9859	16.8649	16.8849
phoneme	k	0.8898	16.9649	16.9849
phoneme	aɪ	0.8076	17.0449	17.0649
pause	<pause>	0.0000	17.2600	17.7200
phoneme	aɪ	0.9008	17.7251	17.7451
phoneme	n	0.9851	17.8651	17.9052
phoneme	uː	0.9378	17.9252	17.9452
phoneme	ɪ	0.7401	18.0452	18.0652
phoneme	t	0.6887	18.0852	18.1052
phoneme	w	0.7474	18.1252	18.1652
phoneme	ʌ	0.9558	18.1852	18.2052
phoneme	z	0.9808	18.2853	18.3053
phoneme	f	0.9911	18.3853	18.4053
phoneme	ɚ	0.3999	18.4253	18.4453
pause	<pause>	0.0000	18.5200	19.4600
phoneme	æ	0.9366	19.4656	19.4856
phoneme	f	0.9832	19.5656	19.5856
phoneme	t	0.8918	19.6056	19.6257
phoneme	ɚ	0.7493	19.6457	19.6657
phoneme	w	0.9824	19.7457	19.7657
phoneme	eɪ	0.9229	19.8057	19.8257
phoneme	ɾ	0.6793	19.9057	19.9257
phoneme	ɪ	0.9238	19.9457	19.9657
phoneme	ŋ	0.7587	19.9858	20.0258
phoneme	ɪ	0.2569	20.0258	20.0458
phoneme	n	0.9796	20.0858	20.1258
phoneme	l	0.9651	20.1458	20.1658
phoneme	aɪ	0.9356	20.1858	20.2058
phoneme	n	0.9925	20.3058	20.3259
phoneme	t	0.4459	20.3259	20.3459
phoneme	f	0.9908	20.3859	20.4059
phoneme	ɚ	0.3715	20.4059	20.4259
phoneme	θ	0.6604	20.5259	20.5459
phoneme	ɜː	0.5478	20.5659	20.5859
phoneme	ɾ	0.5320	20.6860	20.7060
phoneme	i	0.9667	20.7060	20.7260
phoneme	m	0.9954	20.8060	20.8460
phoneme	ɪ	0.9182	20.8460	20.8660
phoneme	n	0.9409	20.9060	20.9460
phoneme	ɪ	0.7615	20.9460	20.9660
pause	<pause>	0.0000	21.0400	21.3800
phoneme	m	0.9839	21.4662	21.5062
phoneme	eɪ	0.9464	21.5062	21.5262
phoneme	d	0.6167	21.6062	21.6262
phoneme	ᵻ	0.7008	21.6262	21.6462
pause	<pause>	0.0000	21.6600	21.8400
phoneme	ð	0.9935	21.8463	21.8663
phoneme	ə	0.9569	21.8663	21.8863
phoneme	f	0.9923	21.9663	21.9863
phoneme	ɹ	0.8014	22.0263	22.0664
phoneme	ʌ	0.6221	22.0664	22.0864
pause	<pause>	0.0000	22.1800	22.4000
phoneme	ɜː	0.4220	22.4065	22.4265
phoneme	ð	0.9916	22.5065	22.5265
phoneme	ə	0.9426	22.5465	22.5665
phoneme	m	0.8661	22.6265	22.6665
phoneme	eɪ	0.5227	22.6865	22.7065
phoneme	n	0.9653	22.8066	22.8466
phoneme	m	0.9972	22.8866	22.9066
phoneme	ɛ	0.7634	22.9266	22.9466
phoneme	ʒ	0.7143	23.0266	23.0466
phoneme	ɚ	0.8121	23.0866	23.1067
phoneme	d	0.9578	23.1467	23.1867
phoneme	m	0.9981	23.2067	23.2267
phoneme	aɪ	0.9192	23.2467	23.2667
phoneme	h	0.9855	23.3667	23.3867
phoneme	aɪ	0.9450	23.4267	23.4468
pause	<pause>	0.0000	23.5200	23.8600
phoneme	iː	0.8789	23.8669	23.8869
phoneme	ɪ	0.8371	23.9469	23.9669
phoneme	f	0.9543	24.0069	24.0269
phoneme	aɪ	0.9325	24.0669	24.0869
phoneme	w	0.9508	24.1670	24.1870
phoneme	ʌ	0.8745	24.2070	24.2270
pause	<pause>	0.0000	24.2200	24.4000
phoneme	ɑː	0.4362	24.4070	24.4270
phoneme	l	0.9882	24.5271	24.5471
phoneme	ɪ	0.5270	24.5671	24.5871
phoneme	n	0.9969	24.6271	24.6471
phoneme	ʌ	0.6442	24.6671	24.6871
pause	<pause>	0.0000	24.6800	25.6200
phoneme	aɪ	0.9158	25.6274	25.6474
phoneme	ɡ	0.8388	25.7474	25.7674
phoneme	eɪ	0.6324	25.7874	25.8074
phoneme	v	0.7942	25.9075	25.9475
phoneme	ð	0.9923	25.9675	25.9875
phoneme	ə	0.8854	25.9875	26.0075
phoneme	m	0.9983	26.0675	26.0875
phoneme	æ	0.5629	26.1075	26.1275
phoneme	n	0.9958	26.2276	26.2476
phoneme	m	0.9987	26.2876	26.3076
phoneme	aɪ	0.9173	26.3076	26.3276
phoneme	k	0.9901	26.4476	26.4676
phoneme	ɔːɹ	0.1732	26.5276	26.5476
phoneme	n	0.8058	26.7277	26.7677
pause	<pause>	0.0000	26.7600	27.1400
phoneme	æ	0.9418	27.1678	27.1878
pause	<pause>	0.0000	27.2600	27.4200
phoneme	ɚ	0.3641	27.4279	27.4479
phoneme	t	0.5117	27.5479	27.5679
phoneme	eɪ	0.9494	27.6280	27.6480
phoneme	n	0.9386	27.7880	27.8280
pause	<pause>	0.0000	27.8200	28.1400
phoneme	æ	0.7717	28.1481	28.1681
phoneme	n	0.9955	28.1881	28.2081
phoneme	d	0.9264	28.2081	28.2281
phoneme	dʒ	0.9201	28.2681	28.2881
phoneme	ʌ	0.7943	28.3282	28.3482
phoneme	m	0.7978	28.4082	28.4482
