date,condition,metric,rep_basis,n_reps,n_usable,n_win_usable,enough_reps,n_used,median,sd,min,max,cv_percent,sdc_95
99999999,other,sv_cpps_token_db,all,1,1,1,0,1,18.7002,,18.7002,18.7002,,
99999999,other,sv_hnr_token_db,all,1,1,1,0,1,19.4708,,19.4708,19.4708,,
99999999,other,voiced_fraction,all,1,1,1,0,1,0.929891,,0.929891,0.929891,,
99999999,other,sv_window_yield,all,1,1,1,0,1,1,,1,1,,
99999999,other,sv_analyzed_fraction,all,1,1,1,0,1,0.894306,,0.894306,0.894306,,
99999999,other,sv_steady_frame_fraction,all,1,1,1,0,1,0.884239,,0.884239,0.884239,,
99999999,other,sv_longest_steady_run_s,all,1,1,1,0,1,15.8063,,15.8063,15.8063,,
99999999,other,f0_subharmonic_lock,all,1,1,1,0,1,0,,0,0,,
99999999,other,f0_lock_semitones,all,1,1,1,0,1,-0.00168702,,-0.00168702,-0.00168702,,
99999999,other,cpp_db,all,1,1,1,0,1,18.7002,,18.7002,18.7002,,
99999999,other,alpha_ratio_db,all,1,1,1,0,1,-23.8935,,-23.8935,-23.8935,,
99999999,other,hammarberg_index,all,1,1,1,0,1,26.024,,26.024,26.024,,
99999999,other,spectral_tilt_db_per_khz,all,1,1,1,0,1,-5.7442,,-5.7442,-5.7442,,
99999999,other,spectral_centroid_hz,all,1,1,1,0,1,1558.59,,1558.59,1558.59,,
99999999,other,sv_total_phonation_s,all,1,1,1,0,1,17.891,,17.891,17.891,,
99999999,other,sv_mpt_longest_uninterrupted_s,all,1,1,1,0,1,16.6122,,16.6122,16.6122,,
99999999,other,cpps_db,windows_usable,1,1,1,0,1,19.8127,,19.8127,19.8127,,
99999999,other,cpps_iqr_db,windows_usable,1,1,1,0,1,0.997959,,0.997959,0.997959,,
99999999,other,hnr_db,perturbation_usable,1,1,1,0,1,22.366,,22.366,22.366,,
99999999,other,hnr_iqr_db,perturbation_usable,1,1,1,0,1,1.11425,,1.11425,1.11425,,
99999999,other,jitter_ppq5_percent,perturbation_usable,1,1,1,0,1,0.214263,,0.214263,0.214263,,
99999999,other,jitter_iqr,perturbation_usable,1,1,1,0,1,0.0647313,,0.0647313,0.0647313,,
99999999,other,shimmer_apq11_percent,perturbation_usable,1,1,1,0,1,1.75875,,1.75875,1.75875,,
99999999,other,shimmer_iqr,perturbation_usable,1,1,1,0,1,0.343349,,0.343349,0.343349,,
99999999,other,pitch_mean_hz,all,1,1,1,0,1,131.052,,131.052,131.052,,
99999999,other,sv_f0_sd_semitones,windows_usable,1,1,1,0,1,0.124918,,0.124918,0.124918,,
99999999,other,sv_mpt_longest_s,all,1,1,1,0,1,17.891,,17.891,17.891,,
99999999,other,sv_intensity_sd_db,windows_usable,1,1,1,0,1,0.633665,,0.633665,0.633665,,
99999999,other,sv_tremor_extent_st,windows_usable,1,1,1,0,1,0.311006,,0.311006,0.311006,,
99999999,other,intensity_active_mean_db,all,1,1,1,0,1,43.9833,,43.9833,43.9833,,
99999999,other,f1_mean_hz,all,1,1,1,0,1,708.233,,708.233,708.233,,
99999999,other,f2_mean_hz,all,1,1,1,0,1,1372.64,,1372.64,1372.64,,
