file,date,condition,condition_class,repetition,task,usable,metric,value,direction
speaker01_sust,99999999,sust,other,,sustained_vowel,1,duration_total_s,20.0152,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,duration_speech_s,17.891,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,articulation_time_s,16.7764,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,phonation_time_s,17.891,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,intensity_active_mean_db,43.9833,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,intensity_active_std_db,1.63182,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,intensity_nucleus_std_db,1.5403,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,intensity_range_db,26.033,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,intensity_decay_db,-2.45305,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_mean_hz,131.052,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_median_hz,131.174,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_std_hz,1.59744,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_min_hz,127.272,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_max_hz,144.669,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_range_hz,17.3969,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_range_semitones,2.21808,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pitch_cv,0.012178,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,voiced_percent,92.9891,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,unvoiced_percent,7.01087,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,cpps_db,19.8127,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,cpps_iqr_db,0.997959,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,cpp_db,18.7002,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,hnr_db,22.366,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,hnr_iqr_db,1.11425,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,hnr_median_perinterval_db,19.4708,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,nhr,0.00580139,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,mean_autocorrelation,0.992563,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,voice_breaks_count,0,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,voice_breaks_degree_percent,0,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,jitter_local_percent,0.359958,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,jitter_ppq5_percent,0.214263,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,jitter_iqr,0.0647313,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,shimmer_local_db,0.20046,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,shimmer_apq11_percent,1.75875,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,shimmer_iqr,0.343349,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,num_pulses,17512,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,spectral_centroid_hz,1558.59,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,spectral_spread_hz,2941.39,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,spectral_skewness,3.82783,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,spectral_kurtosis,16.509,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,spectral_tilt_db_per_khz,-5.7442,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,alpha_ratio_db,-23.8935,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,hammarberg_index,26.024,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f1_mean_hz,708.233,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f1_std_hz,27.6795,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f2_mean_hz,1372.64,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f2_std_hz,45.0214,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f3_mean_hz,3128.49,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f3_std_hz,119.438,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,voiced_fraction,0.929891,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f0_subharmonic_lock,0,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,f0_lock_semitones,-0.00168702,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pause_count,1,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pauses_per_minute,3.35365,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pause_total_duration_s,1.11456,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pause_mean_duration_s,1.11456,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,pause_ratio_to_speech,0.066436,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,rec_quality_score,99.9977,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,rec_snr_db,27.118,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,rec_clipping_fraction,1.13292e-06,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_mpt_longest_s,17.891,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_mpt_longest_uninterrupted_s,16.6122,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_mpt_mean_s,17.891,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_total_phonation_s,17.891,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_n_tokens,1,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_f0_sd_semitones,0.124918,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_f0_drift_st_per_s,0.0235015,around
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_intensity_sd_db,0.633665,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_tremor_rate_hz,3.49773,neutral
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_tremor_extent_st,0.311006,lower
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_cpps_token_db,18.7002,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_hnr_token_db,19.4708,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_window_yield,1,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_intensity_decay_db_per_s,-0.147765,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_analyzed_fraction,0.894306,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_window_yield_s,1,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_steady_frame_fraction,0.884239,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_longest_steady_run_s,15.8063,higher
speaker01_sust,99999999,sust,other,,sustained_vowel,1,sv_f1f2_cloud_spread_hz,34.7,lower
